env,algo,config,norm,ess,top5_mass,saturation_mass
antmaze-medium,GCIQL,25,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,25,clip_std,0.2658,0.2817,0.0
antmaze-medium,GCIQL,26,raw,0.1236,0.4483,0.823
antmaze-medium,GCIQL,26,zscore,0.1546,0.3033,0.0
antmaze-medium,GCIQL,26,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,26,clip_std,0.2337,0.3085,0.0
antmaze-medium,GCIQL,27,raw,0.1323,0.4008,0.8943
antmaze-medium,GCIQL,27,zscore,0.313,0.2349,0.0
antmaze-medium,GCIQL,27,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,27,clip_std,0.3551,0.2535,0.0
antmaze-medium,GCIQL,28,raw,0.1417,0.3803,0.8652
antmaze-medium,GCIQL,28,zscore,0.1533,0.2996,0.01
antmaze-medium,GCIQL,28,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,28,clip_std,0.2295,0.3101,0.0
antmaze-medium,GCIQL,29,raw,0.0973,0.5935,0.7734
antmaze-medium,GCIQL,29,zscore,0.2187,0.2685,0.0206
antmaze-medium,GCIQL,29,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,29,clip_std,0.2927,0.2816,0.0
antmaze-medium,GCIQL,30,raw,0.0744,0.7953,0.7176
antmaze-medium,GCIQL,30,zscore,0.2334,0.2563,0.0105
antmaze-medium,GCIQL,30,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,30,clip_std,0.284,0.2766,0.0
antmaze-medium,GCIQL,31,raw,0.1684,0.3088,0.9225
antmaze-medium,GCIQL,31,zscore,0.1837,0.2582,0.0306
antmaze-medium,GCIQL,31,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,31,clip_std,0.3431,0.2542,0.0
antmaze-medium,GCIQL,32,raw,0.1591,0.3302,0.9064
antmaze-medium,GCIQL,32,zscore,0.1574,0.2959,0.0101
antmaze-medium,GCIQL,32,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,32,clip_std,0.2293,0.3094,0.0
antmaze-medium,GCIQL,33,raw,0.0744,0.7914,0.6641
antmaze-medium,GCIQL,33,zscore,0.2111,0.2654,0.0154
antmaze-medium,GCIQL,33,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,33,clip_std,0.3081,0.2722,0.0
antmaze-medium,GCIQL,34,raw,0.0873,0.6662,0.7766
antmaze-medium,GCIQL,34,zscore,0.2445,0.2538,0.0158
antmaze-medium,GCIQL,34,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,34,clip_std,0.2885,0.2779,0.0
antmaze-medium,GCIQL,35,raw,0.1563,0.3408,0.8802
antmaze-medium,GCIQL,35,zscore,0.2879,0.224,0.0107
antmaze-medium,GCIQL,35,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,35,clip_std,0.3532,0.2435,0.0
antmaze-medium,GCIQL,36,raw,0.1465,0.3668,0.8654
antmaze-medium,GCIQL,36,zscore,0.1959,0.2772,0.0052
antmaze-medium,GCIQL,36,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,36,clip_std,0.2419,0.2993,0.0
antmaze-medium,GCIQL,37,raw,0.0835,0.6635,0.819
antmaze-medium,GCIQL,37,zscore,0.1113,0.3002,0.0977
antmaze-medium,GCIQL,37,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,37,clip_std,0.3036,0.2631,0.0
antmaze-medium,GCIQL,38,raw,0.0642,0.4123,0.0225
antmaze-medium,GCIQL,38,zscore,0.1567,0.3021,0.0
antmaze-medium,GCIQL,38,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,38,clip_std,0.2345,0.3077,0.0
antmaze-medium,GCIQL,39,raw,0.1861,0.2803,0.918
antmaze-medium,GCIQL,39,zscore,0.2718,0.2453,0.0052
antmaze-medium,GCIQL,39,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,39,clip_std,0.3268,0.2639,0.0
antmaze-medium,GCIQL,40,raw,0.1552,0.3404,0.8968
antmaze-medium,GCIQL,40,zscore,0.2063,0.2722,0.0052
antmaze-medium,GCIQL,40,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,40,clip_std,0.2576,0.2902,0.0
antmaze-medium,GCIQL,41,raw,0.06,0.7615,0.4217
antmaze-medium,GCIQL,41,zscore,0.3273,0.2248,0.0
antmaze-medium,GCIQL,41,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,41,clip_std,0.3819,0.2375,0.0
