env,algo,config,alpha,w_max,ess,saturation_mass,fraction_clipped,top5_mass
antmaze-medium,CRL,36,22.107970286160707,20,0.298633699142676,0.9238901772906957,0.2653125,0.1741135787591417
antmaze-medium,CRL,36,22.107970286160707,50,0.2785664785333961,0.9220641101987194,0.2465625,0.18698384997692663
antmaze-medium,CRL,36,22.107970286160707,100,0.26396537373314316,0.922036310985206,0.233515625,0.1974249712380501
antmaze-medium,CRL,36,22.107970286160707,200,0.25014116925706925,0.9249108848346421,0.222109375,0.2082106810742775
antmaze-medium,CRL,37,9.454437140375376,20,0.2744959312449082,0.834825548329267,0.208984375,0.19973396296475923
antmaze-medium,CRL,37,9.454437140375376,50,0.23600910305512424,0.8213785463118639,0.17578125,0.23363656428426352
antmaze-medium,CRL,37,9.454437140375376,100,0.20940852639294164,0.8293087325655303,0.1571875,0.26379601831110305
antmaze-medium,CRL,37,9.454437140375376,200,0.18575480295850866,0.8291133024937213,0.139453125,0.2972731168604939
antmaze-medium,CRL,38,7.449410604313016,20,0.2613881633692875,0.8032647898070415,0.187421875,0.21429323279554255
antmaze-medium,CRL,38,7.449410604313016,50,0.2181603739996053,0.7883460851321952,0.1521875,0.25900487396540295
antmaze-medium,CRL,38,7.449410604313016,100,0.1887567219343648,0.7864556469663332,0.130703125,0.30085571671156797
antmaze-medium,CRL,38,7.449410604313016,200,0.1627239512310363,0.7803355561134204,0.1115625,0.34973022122730324
antmaze-medium,CRL,39,24.7977111954242,20,0.31144836815179844,0.9368949477022577,0.28234375,0.16591388116476063
antmaze-medium,CRL,39,24.7977111954242,50,0.29394545051674026,0.9360043728348943,0.26609375,0.17587868426727316
antmaze-medium,CRL,39,24.7977111954242,100,0.2811812360109265,0.9312906936079802,0.253046875,0.18401545041960707
antmaze-medium,CRL,39,24.7977111954242,200,0.26856841501312395,0.9329587488482656,0.241875,0.19285968968439599
antmaze-medium,CRL,40,24.34515838511288,20,0.6,1.0,0.6,0.08333333333333333
antmaze-medium,CRL,40,24.34515838511288,50,0.6,1.0,0.6,0.08333333333333333
antmaze-medium,CRL,40,24.34515838511288,100,0.6,1.0,0.6,0.08333333333333333
antmaze-medium,CRL,40,24.34515838511288,200,0.6,1.0,0.6,0.08333333333333333
antmaze-medium,CRL,41,4.184357346966863,20,0.2203500771623021,0.6304142827647854,0.108828125,0.2896375742781498
antmaze-medium,CRL,41,4.184357346966863,50,0.15856185283741106,0.6260824962310851,0.076796875,0.40762237801413476
antmaze-medium,CRL,41,4.184357346966863,100,0.12279197247655509,0.6225989077595303,0.058828125,0.5291677303666659
antmaze-medium,CRL,41,4.184357346966863,200,0.09463246613554209,0.6414824405908608,0.046875,0.6795329445649122
antmaze-medium,CRL,42,8.96858112886548,20,0.2737647201505952,0.8331523177459595,0.207890625,0.20038236879271482
antmaze-medium,CRL,42,8.96858112886548,50,0.2352790270181563,0.820506549556029,0.175,0.23443044273029398
antmaze-medium,CRL,42,8.96858112886548,100,0.20860276515929396,0.8193355630052052,0.154296875,0.26550620775864875
antmaze-medium,CRL,42,8.96858112886548,200,0.18427544921447683,0.8165600576590644,0.135390625,0.30155708996064695
antmaze-medium,CRL,43,18.80961561575532,20,0.3068839272421114,0.9157150596606362,0.268828125,0.17031608200604684
antmaze-medium,CRL,43,18.80961561575532,50,0.28346250962322733,0.914459431240186,0.2471875,0.18497283059219946
antmaze-medium,CRL,43,18.80961561575532,100,0.2669675539093201,0.9151549050701969,0.233515625,0.19595153537802812
antmaze-medium,CRL,43,18.80961561575532,200,0.2518965237986045,0.9159598631121093,0.220703125,0.20750949111212388
antmaze-medium,CRL,44,15.632495395839214,20,0.30121937695320783,0.9051630998939025,0.2596875,0.1742792972118224
antmaze-medium,CRL,44,15.632495395839214,50,0.27621459663041975,0.9023912879625979,0.2365625,0.19072999481375913
antmaze-medium,CRL,44,15.632495395839214,100,0.25810809962678405,0.897929557932223,0.219609375,0.20443789294792694
antmaze-medium,CRL,44,15.632495395839214,200,0.24073051051745542,0.897240824509961,0.20453125,0.21934076687791254
antmaze-medium,CRL,45,12.355793304741383,20,0.28336777555867465,0.87328673125037,0.231015625,0.18901031721347203
antmaze-medium,CRL,45,12.355793304741383,50,0.25197797787108145,0.8688132090825561,0.203515625,0.21345122987057039
antmaze-medium,CRL,45,12.355793304741383,100,0.23025564155188388,0.8780085980833533,0.188515625,0.23287422410830755
antmaze-medium,CRL,45,12.355793304741383,200,0.21125332589886595,0.8824673631871297,0.174375,0.25303723675616624
antmaze-medium,CRL,46,0.741263022646308,20,0.4304598823757048,0.02543924964695284,0.00125,0.2036631712966527
antmaze-medium,CRL,46,0.741263022646308,50,0.2505824403626456,0.030936405727205372,0.000625,0.22526648167128716
antmaze-medium,CRL,46,0.741263022646308,100,0.15133263520126983,0.00757511900674072,7.8125e-05,0.24119192751729032
