agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n,phase
QRL,antmaze-medium-explore40navigate-v0,0.6462,0.0,0.6464,0.6485,0.6464,0.0003,0.0021,-0.0003,64,4
CRL,antmaze-medium-explore80navigate-v0,0.8213,0.0016,0.8225,0.8225,0.8209,0.0012,0.0,0.0004,64,4
GCIQL,antmaze-medium-explore80navigate-v0,0.2443,0.0333,0.2854,0.2936,0.2521,0.0411,0.0082,-0.0078,64,4
GCIVL,antmaze-medium-explore80navigate-v0,0.3322,0.0095,0.3438,0.3438,0.3342,0.0115,0.0,-0.002,64,4
QRL,antmaze-medium-explore80navigate-v0,0.7178,0.0035,0.7225,0.7229,0.7189,0.0046,0.0004,-0.0011,64,4
CRL,antmaze-medium-navigate-v0,0.4936,0.0001,0.4937,0.4938,0.4936,0.0,0.0001,0.0001,64,4
GCIQL,antmaze-medium-navigate-v0,0.6344,0.0229,0.6646,0.6657,0.6417,0.0302,0.0011,-0.0073,64,4
GCIVL,antmaze-medium-navigate-v0,0.5423,0.0972,0.6141,0.6179,0.5169,0.0718,0.0038,0.0254,64,4
QRL,antmaze-medium-navigate-v0,0.5187,0.028,0.5388,0.5517,0.5108,0.0201,0.0129,0.0079,64,4
CRL,cube-single-play-v0,0.8732,0.0051,0.8785,0.8785,0.8734,0.0053,0.0,-0.0002,64,4
GCIQL,cube-single-play-v0,0.6729,0.0164,0.6874,0.6992,0.671,0.0145,0.0118,0.0019,64,4
GCIVL,cube-single-play-v0,0.5504,0.0165,0.579,0.5796,0.5624,0.0285,0.0007,-0.012,64,4
QRL,cube-single-play-v0,0.7856,0.0006,0.7883,0.794,0.7878,0.0028,0.0057,-0.0022,64,4
CRL,scene-play-v0,0.6784,0.002,0.6788,0.6813,0.6768,0.0004,0.0025,0.0016,64,4
GCIQL,scene-play-v0,0.6653,0.0036,0.6689,0.669,0.6653,0.0036,0.0002,-0.0,64,4
GCIVL,scene-play-v0,0.6675,0.0088,0.6716,0.6717,0.6628,0.0041,0.0001,0.0047,64,4
QRL,scene-play-v0,0.6363,0.0005,0.6373,0.6374,0.6368,0.0011,0.0,-0.0005,64,4
