agent,dataset,constant_dataset,hps,phase_num,Goal Distance Score Normalized Regret $< 0.1$ Ratio,Goal Distance Score Normalized Regret $< 0.2$ Ratio,Goal Distance Score,Max Goal Distance Score,Success
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.28125,0.75,0.4544912793918168,0.5848462076547127,0.17427083333333335
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",3,0.625,0.765625,0.46874150810689075,0.5862362454159381,0.19979166666666667
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",4,0.546875,0.75,0.47140388911415043,0.594454727215422,0.20135416666666667
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,0.09375,0.1875,0.1175398530575196,0.19621493820527122,0.013020833333333334
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.25,0.375,0.4810718934533225,0.7018652154206161,0.308125
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",3,0.65625,0.796875,0.6470411132003304,0.7844459127374632,0.5283333333333333
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",4,0.6875,0.78125,0.6650362975634917,0.802971301879996,0.5777083333333333
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.140625,0.265625,0.42464120440413655,0.8198761420621713,0.2809375
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.609375,0.78125,0.6776606321587965,0.8424964351611829,0.6230208333333334
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3,0.65625,0.78125,0.6989792407327705,0.8578162762316963,0.6471875
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",4,0.671875,0.78125,0.6818438469838399,0.8377332093348319,0.6338541666666667
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.09375,0.171875,0.38561393369508096,0.785046010314578,0.22208333333333333
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.578125,0.75,0.6297801415039851,0.7915633798352122,0.5184375
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",3,0.5625,0.734375,0.6525820462713852,0.8281887845377977,0.5726041666666667
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",4,0.609375,0.75,0.6486498255076438,0.8155991653371116,0.5678124999999999
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.109375,0.171875,0.24422500867564945,0.6100335036538059,0.12979166666666667
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.453125,0.8125,0.5429195211986971,0.6489007023558832,0.39666666666666667
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",3,0.59375,0.75,0.5449242528533317,0.6575838712428128,0.416875
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",4,0.40625,0.765625,0.5461702175675492,0.6851960442577383,0.4188541666666667
