agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,22,3,926500,actor,9.55888551659882,True,0.240505,0.024251,0.860635,0.025351,0.191406,0.020588,0.212961,0.023576,4.191804,0.095858
CRL,22,4,926500,actor,9.55888551659882,True,0.238771,0.021233,0.872977,0.029258,0.195312,0.018688,0.211036,0.019456,4.174632,0.088283
CRL,23,0,926500,actor,19.749351209029555,True,0.289891,0.028693,0.946975,0.01821,0.267188,0.025661,0.16752,0.016497,4.32992,0.096382
CRL,23,1,926500,actor,19.749351209029555,True,0.290971,0.02901,0.950284,0.014709,0.269531,0.026429,0.16669,0.016515,4.33317,0.096894
CRL,23,2,926500,actor,19.749351209029555,True,0.287656,0.028874,0.955796,0.016013,0.267969,0.026761,0.168674,0.016867,4.323172,0.097632
CRL,23,3,926500,actor,19.749351209029555,True,0.287954,0.029337,0.953355,0.018463,0.267578,0.026188,0.168446,0.016774,4.323838,0.098758
CRL,23,4,926500,actor,19.749351209029555,True,0.289071,0.028962,0.954972,0.014289,0.269141,0.02633,0.167762,0.016669,4.327378,0.0976
CRL,24,0,926500,actor,21.245461581274867,True,0.289178,0.02557,0.94466,0.0189,0.265234,0.023542,0.16814,0.015448,4.327596,0.088985
CRL,24,1,926500,actor,21.245461581274867,True,0.275681,0.031502,0.943231,0.020947,0.253516,0.032549,0.176851,0.0216,4.275999,0.111529
CRL,24,2,926500,actor,21.245461581274867,True,0.307114,0.029335,0.949491,0.011384,0.284375,0.028752,0.158203,0.018833,4.386363,0.102577
CRL,24,3,926500,actor,21.245461581274867,True,0.298788,0.023677,0.940147,0.016398,0.272266,0.02108,0.162791,0.01367,4.365209,0.077872
CRL,24,4,926500,actor,21.245461581274867,True,0.315611,0.02666,0.945629,0.025727,0.289844,0.031884,0.154338,0.014546,4.416742,0.078657
CRL,25,0,926500,actor,8.949170345440507,True,0.244279,0.023331,0.879874,0.029615,0.201562,0.02294,0.206768,0.021761,4.198599,0.093822
CRL,25,1,926500,actor,8.949170345440507,True,0.242265,0.02116,0.875752,0.040919,0.198438,0.02114,0.208553,0.019348,4.193089,0.086216
CRL,25,2,926500,actor,8.949170345440507,True,0.241726,0.0238,0.880229,0.0351,0.200391,0.02598,0.208466,0.022666,4.188768,0.093744
CRL,25,3,926500,actor,8.949170345440507,True,0.240762,0.022267,0.871707,0.023817,0.196094,0.01903,0.210034,0.019768,4.186252,0.088574
CRL,25,4,926500,actor,8.949170345440507,True,0.243516,0.018718,0.893798,0.026472,0.205469,0.021252,0.205608,0.018932,4.197294,0.070037
CRL,26,0,926500,actor,6.266372054815292,True,0.190865,0.015227,0.80233,0.048725,0.136719,0.018869,0.278194,0.026387,4.010724,0.066966
CRL,26,1,926500,actor,6.266372054815292,True,0.189908,0.027172,0.826644,0.039139,0.141406,0.02106,0.279097,0.039622,3.993066,0.127783
CRL,26,2,926500,actor,6.266372054815292,True,0.190594,0.01515,0.816488,0.03362,0.139844,0.014593,0.275712,0.023086,3.998047,0.072398
CRL,26,3,926500,actor,6.266372054815292,True,0.203222,0.026742,0.789904,0.053358,0.144141,0.025479,0.262158,0.035882,4.058419,0.114642
CRL,26,4,926500,actor,6.266372054815292,True,0.194377,0.015797,0.807655,0.055549,0.139844,0.015274,0.27226,0.020484,4.02254,0.077256
CRL,27,0,926500,actor,23.9573778770864,True,0.297919,0.02866,0.966705,0.008178,0.282422,0.02598,0.161691,0.015086,4.35192,0.094635
CRL,27,1,926500,actor,23.9573778770864,True,0.300547,0.028947,0.960582,0.01569,0.282812,0.027817,0.160567,0.015684,4.360628,0.094293
