checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_16/phase_402222/seed_3/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,3,16,actor,0.564472,0.02234,0.794241,0.578961,6.771339,8.553167,0.22635,0.117339,0.413457,0.090974,-0.380784,0.608944
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_16/phase_402222/seed_4/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,4,16,actor,0.57146,0.023644,0.795758,0.580828,6.819335,8.613403,0.225872,0.118108,0.412982,0.088432,-0.382776,0.609118
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_17/phase_402222/seed_0/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,0,17,actor,0.588614,0.017793,0.766803,0.537769,6.474121,8.041031,0.23107,0.123539,0.410003,0.09331,-0.3568,0.582296
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_17/phase_402222/seed_1/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,1,17,actor,0.578768,0.012465,0.737931,0.513016,6.138887,7.704863,0.227634,0.118914,0.401965,0.093841,-0.335967,0.55634
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_17/phase_402222/seed_2/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,2,17,actor,0.592849,0.023494,0.760359,0.525155,6.334893,7.799066,0.228134,0.118111,0.408347,0.083841,-0.352013,0.563584
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_17/phase_402222/seed_3/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,3,17,actor,0.581198,0.022698,0.765981,0.547562,6.349426,8.117909,0.231952,0.122323,0.413608,0.096588,-0.352373,0.59024
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_17/phase_402222/seed_4/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,4,17,actor,0.589588,0.020126,0.77032,0.551745,6.539316,8.143439,0.227769,0.122867,0.40321,0.087939,-0.36711,0.590914
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_18/phase_402222/seed_0/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,0,18,actor,0.568592,0.018357,0.788281,0.554851,6.647717,8.250512,0.228831,0.119855,0.41797,0.08681,-0.370311,0.581671
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_18/phase_402222/seed_1/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,1,18,actor,0.57002,0.018821,0.786383,0.550794,6.630109,8.220019,0.22844,0.120448,0.415989,0.087364,-0.370394,0.57973
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_18/phase_402222/seed_2/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,2,18,actor,0.568885,0.023574,0.788616,0.556574,6.670029,8.300351,0.22876,0.12013,0.415539,0.08658,-0.373077,0.584308
